Date,Open,High,Low,Close,Adj Close,Volume
2018-07-10,2.636364,2.745455,2.636364,2.736364,2.634866,27280
2018-07-11,2.709091,2.727273,2.636364,2.727273,2.626112,3960
2018-07-12,2.681818,2.736364,2.681818,2.727273,2.626112,4950
2018-07-13,2.681818,2.736364,2.681818,2.736364,2.634866,12760
2018-07-16,2.727273,2.736364,2.718182,2.718182,2.617358,2090
2018-07-17,2.709091,2.709091,2.590909,2.636364,2.538575,41690
2018-07-18,2.663636,2.663636,2.500000,2.627273,2.529821,28380
2018-07-19,2.563636,2.563636,2.536364,2.536364,2.442284,20020
2018-07-20,2.863636,2.863636,2.636364,2.718182,2.617358,7480
2018-07-23,2.709091,2.709091,2.590909,2.590909,2.494806,11880
2018-07-24,2.572727,2.572727,2.354545,2.427273,2.337240,131890
2018-07-25,2.427273,2.654545,2.409091,2.636364,2.538575,10120
2018-07-26,2.545455,2.654545,2.518182,2.636364,2.538575,22660
2018-07-27,2.618182,2.818182,2.590909,2.772727,2.669880,138050
2018-07-30,2.818182,2.818182,2.654545,2.763636,2.661127,14630
2018-07-31,2.718182,2.718182,2.590909,2.718182,2.617358,39050
2018-08-01,2.381818,2.727273,2.381818,2.718182,2.617358,14300
2018-08-02,2.727273,2.727273,2.363636,2.454545,2.363500,157850
2018-08-03,2.500000,2.636364,2.490909,2.627273,2.529821,15400
2018-08-06,2.681818,2.727273,2.418182,2.472727,2.381008,35200
2018-08-07,2.418182,2.418182,2.381818,2.390909,2.302225,4510
2018-08-08,2.372727,2.500000,2.272727,2.272727,2.188426,87010
2018-08-09,2.272727,2.272727,2.181818,2.181818,2.100889,113960
2018-08-10,2.463636,2.709091,2.227273,2.636364,2.538575,69740
2018-08-13,2.636364,2.636364,2.345455,2.627273,2.529821,87340
2018-08-14,2.545455,2.636364,2.545455,2.636364,2.538575,70730
2018-08-15,2.636364,2.636364,2.490909,2.618182,2.521068,29040
2018-08-16,2.572727,2.627273,2.500000,2.627273,2.529821,3190
2018-08-17,2.627273,2.890909,2.627273,2.836364,2.731157,96800
2018-08-20,2.809091,2.863636,2.763636,2.854545,2.748663,21780
2018-08-21,2.800000,3.063636,2.800000,3.063636,2.949999,41580
2018-08-22,3.063636,3.090909,3.063636,3.081818,2.967506,34980
2018-08-23,2.827273,3.381818,2.827273,3.145455,3.028783,47850
2018-08-24,3.200000,3.200000,3.081818,3.181818,3.063797,28820
2018-08-27,3.081818,3.390909,2.936364,3.300000,3.177595,60500
2018-08-28,3.318182,3.363636,3.081818,3.090909,2.976260,43450
2018-08-29,2.881818,3.072727,2.818182,2.818182,2.713649,42680
2018-08-30,2.818182,2.890909,2.727273,2.836364,2.731157,47080
2018-08-31,2.845455,2.872727,2.745455,2.800000,2.696141,28490
2018-09-04,2.754545,2.936364,2.754545,2.909091,2.801186,31790
2018-09-05,2.881818,3.000000,2.881818,3.000000,2.888723,4510
2018-09-06,3.000000,3.354545,2.909091,3.045455,2.932492,28820
2018-09-07,3.027273,3.263636,2.881818,2.881818,2.774925,24420
2018-09-10,3.072727,3.136364,2.890909,3.045455,2.932492,28600
2018-09-11,2.981818,3.000000,2.890909,3.000000,2.888723,13090
2018-09-12,3.172727,3.181818,2.954545,3.045455,2.932492,16720
2018-09-13,3.172727,3.272727,3.045455,3.045455,2.932492,22660
2018-09-14,2.954545,3.000000,2.900000,2.972727,2.862462,17600
2018-09-17,2.954545,2.972727,2.954545,2.972727,2.862462,3410
2018-09-18,2.909091,2.954545,2.836364,2.954545,2.844954,46310
2018-09-19,2.836364,2.881818,2.754545,2.854545,2.748663,30250
2018-09-20,2.818182,2.854545,2.754545,2.809091,2.704895,28820
2018-09-21,2.818182,2.818182,2.745455,2.818182,2.713649,18700
2018-09-24,2.909091,2.909091,2.818182,2.881818,2.774925,10010
2018-09-25,2.818182,2.909091,2.818182,2.909091,2.801186,9570
2018-09-26,2.809091,2.900000,2.809091,2.845455,2.739910,12760
2018-09-27,2.845455,2.854545,2.800000,2.818182,2.713649,10230
2018-09-28,2.800000,2.800000,2.709091,2.709091,2.608604,22440
2018-10-01,2.709091,2.954545,2.509091,2.545455,2.451038,59180
2018-10-02,2.509091,2.800000,2.236364,2.800000,2.696141,80960
2018-10-03,2.754545,2.845455,2.636364,2.772727,2.669880,14410
2018-10-04,2.636364,2.772727,2.636364,2.727273,2.626112,14740
2018-10-05,2.681818,2.709091,2.545455,2.681818,2.582343,14850
2018-10-08,2.727273,2.727273,2.681818,2.681818,2.582343,10230
2018-10-09,2.681818,2.727273,2.681818,2.709091,2.608604,10120
2018-10-10,2.818182,2.945455,2.818182,2.909091,2.801186,44220
2018-10-11,2.936364,2.945455,2.727273,2.818182,2.713649,15510
2018-10-12,2.772727,2.981818,2.772727,2.927273,2.818694,12980
2018-10-15,2.863636,2.981818,2.863636,2.918182,2.809940,6930
2018-10-16,2.763636,3.045455,2.718182,2.790909,2.687388,29920
2018-10-17,2.863636,2.863636,2.790909,2.836364,2.731157,18920
2018-10-18,3.000000,3.000000,2.772727,2.790909,2.687388,31680
2018-10-19,2.918182,2.918182,2.909091,2.909091,2.801186,8030
2018-10-22,2.772727,2.881818,2.772727,2.863636,2.757417,6820
2018-10-23,2.772727,2.927273,2.772727,2.927273,2.818694,6380
2018-10-24,2.781818,2.872727,2.781818,2.872727,2.766171,11110
2018-10-25,2.927273,2.927273,2.763636,2.900000,2.792432,18700
2018-10-26,2.863636,2.900000,2.736364,2.772727,2.669880,29920
2018-10-29,2.772727,2.827273,2.772727,2.818182,2.713649,11000
2018-10-30,2.818182,2.818182,2.554545,2.772727,2.669880,14300
2018-10-31,2.772727,2.818182,2.636364,2.790909,2.687388,27390
2018-11-01,2.763636,2.809091,2.763636,2.809091,2.704895,14410
2018-11-02,2.809091,2.854545,2.809091,2.854545,2.748663,9680
2018-11-05,2.818182,2.900000,2.818182,2.900000,2.792432,5500
2018-11-06,2.900000,3.154545,2.863636,3.127273,3.011275,75350
2018-11-07,3.136364,3.136364,2.900000,3.000000,2.888723,10670
2018-11-08,3.000000,3.127273,3.000000,3.109091,2.993768,10890
2018-11-09,3.090909,3.090909,2.918182,3.000000,2.888723,13310
2018-11-12,3.000000,3.000000,2.818182,2.863636,2.757417,9020
